IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
29520442,0150000,BULLITT COUNTY SHERIFF DEPT.,Accepted,BULLITT,KY0044,,OLD MILL,RD,,,FOSTER,,,,,38.012893640,-85.650647414,16.242,12/31/2021 12:00:00 AM,1353,2,2,0,0,CLOUDY,DRY,False,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,12/31/2021 8:41:50 PM,False,1226,Accepted,
29529287,KSP1200,KY STATE POLICE POST 12,Accepted,FRANKLIN,I 0064,,I64 W,,,,,,,,,38.151750663,-84.951956860,49.855,12/31/2021 12:00:00 AM,0825,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,1/3/2022 5:05:35 PM,False,443,Accepted,
29515712,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,BROOK,ST,S,US0150,BROADWAY,,,,,38.245381159,-85.751730597,2.769,12/29/2021 12:00:00 AM,1130,2,2,0,0,CLOUDY,DRY,False,COLLISION WITH PARKED VEHICLE,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,12/30/2021 8:18:58 AM,False,7037,Accepted,
29541060,0370200,KY STATE POLICE CVE,Accepted,LYON,I 0024,,I24 E,,,,,,,,,36.973896406,-87.894018143,54.458,12/28/2021 12:00:00 AM,1539,2,2,0,0,CLOUDY,DRY,True,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,1/6/2022 1:40:00 PM,False,C-328,Accepted,
29537146,1110000,TRIGG COUNTY SHERIFF DEPT.,Accepted,TRIGG,I 0024,,I24 E,,,,,,,,,36.935355291,-87.821034818,59.326,12/26/2021 12:00:00 AM,1105,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/5/2022 2:06:12 PM,False,205,Accepted,
29537149,1110000,TRIGG COUNTY SHERIFF DEPT.,Accepted,TRIGG,I 0024,,I24 W,,,,,,,,,36.940965749,-87.829444320,58.696,12/26/2021 12:00:00 AM,1306,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/5/2022 2:06:24 PM,False,205,Accepted,
29497603,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,US0025,,VINE,ST,E,,,,QUALITY,,BECK,38.043318683,-84.495615646,13.691,12/23/2021 12:00:00 AM,1444,3,3,0,0,CLEAR,DRY,True,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/23/2021 11:46:26 PM,False,48806,Accepted,
29507341,1090000,TAYLOR COUNTY SHERIFF DEPT.,Accepted,TAYLOR,US0068,,NEW LEBANON,RD,,,,,,,,37.396718556,-85.289977697,10.745,12/22/2021 12:00:00 AM,1744,2,2,0,0,CLEAR,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/27/2021 10:58:53 PM,False,1503,Accepted,
29495470,0080000,BOONE COUNTY SHERIFF DEPT.,Accepted,BOONE,KY0536,,MT ZION,RD,,,TIBURON,,,,,38.956212888,-84.639744167,13.075,12/22/2021 12:00:00 AM,0715,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,12/23/2021 8:10:34 AM,False,3743,Accepted,
29489187,1060100,SHELBYVILLE POLICE DEPARTMENT,Accepted,SHELBY,KY0055X,,BOONE STATION,RD,,,BENSON,,,,,38.212611487,-85.204164427,0.135,12/21/2021 12:00:00 AM,1327,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,12/21/2021 3:10:25 PM,False,140,Accepted,
