IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
27633830,0370200,KY STATE POLICE CVE,Accepted,LAUREL,I 0075,,I75 N,,,,,,,,,37.214046774,-84.194936962,47.683,12/31/2020 12:00:00 AM,2107,2,2,0,1,FOG,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,1/4/2021 7:03:09 PM,False,C-331,Accepted,
27626519,0080000,BOONE COUNTY SHERIFF DEPT.,Accepted,BOONE,I 0075,,I75 S,,,,,,,,,38.921147498,-84.629732744,175.617,12/30/2020 12:00:00 AM,1740,3,3,0,0,RAINING,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/3/2021 1:54:51 AM,False,3751,Accepted,
27611802,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,I 0265,,I265 E,,,,,,,,,38.193795423,-85.508429767,23.476,12/28/2020 12:00:00 AM,2014,1,1,0,1,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/29/2020 8:32:08 AM,False,7713,Accepted,
27655143,0180100,MURRAY POLICE DEPARTMENT,Accepted,CALLOWAY,,,MELROSE,ST,,,DORAN,,,,,36.592718783,-88.333424933,,12/27/2020 12:00:00 AM,2010,1,1,0,0,CLOUDY,DRY,True,OTHER INTERSECTION COLLISIONS,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,1/10/2021 5:19:37 PM,False,155,Accepted,
27622376,0630000,LAUREL COUNTY SHERIFF DEPT.,Accepted,LAUREL,I 0075,,I75 S,,,,,,,,,37.182205510,-84.136490013,43.657,12/26/2020 12:00:00 AM,1315,3,3,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,1/1/2021 11:03:02 AM,False,1137,Accepted,
27598728,0340200,LEXINGTON POLICE DEPARTMENT,Accepted,FAYETTE,,,CLAYS MILL,RD,,,,,NAKOMI,,GALATA,38.008040517,-84.541858382,1.729,12/22/2020 12:00:00 AM,1451,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,12/23/2020 5:03:53 PM,False,40247,Accepted,
27591189,0370200,KY STATE POLICE CVE,Accepted,LAUREL,I 0075,,I75 S,,,,,,,,,37.161962337,-84.115229971,41.818,12/21/2020 12:00:00 AM,2059,2,2,0,0,CLEAR,DRY,False,OTHER COLLISIONS ON SHOULDER,ANGLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,,,12/21/2020 11:55:58 PM,False,C-325,Accepted,
27591638,0591300,FT. MITCHELL POLICE DEPARTMENT,Accepted,KENTON,I 0075,,I75 S,,,,,,,,,39.049389500,-84.571386369,186.538,12/20/2020 12:00:00 AM,1745,1,1,0,0,CLOUDY,DRY,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,12/22/2020 2:26:38 AM,False,FM07,Accepted,
27608772,0630000,LAUREL COUNTY SHERIFF DEPT.,Accepted,LAUREL,I 0075,,I75 S,,,,,,,,,37.155899944,-84.112974342,41.379,12/19/2020 12:00:00 AM,0955,2,2,0,0,CLOUDY,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,CURVE & LEVEL,DAYLIGHT,,,12/28/2020 12:33:05 PM,False,1135,Accepted,
27618244,KSP0100,KY STATE POLICE POST 01,Accepted,LYON,I 0024,,I24 E,,,,,,,,,36.978568519,-87.906567471,53.694,12/19/2020 12:00:00 AM,1300,2,2,0,0,CLEAR,WET,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/30/2020 9:46:34 PM,False,410,Accepted,
27590249,0080200,FLORENCE POLICE DEPARTMENT,Accepted,BOONE,I 0075,,I75 N,,,,,,,,,38.994713047,-84.645453863,180.721,12/18/2020 12:00:00 AM,1340,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,12/21/2020 4:32:52 PM,False,40,Accepted,
27588909,0790100,BENTON POLICE DEPARTMENT,Accepted,MARSHALL,US0641,,MAIN,ST,,,10TH,,,,,36.859046006,-88.350797130,8.401,12/18/2020 12:00:00 AM,1753,1,1,0,0,CLOUDY,DRY,False,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & GRADE,DARK-HWY LIGHTED/ON,,,12/21/2020 9:25:16 AM,False,2,Accepted,
27583373,0080000,BOONE COUNTY SHERIFF DEPT.,Accepted,BOONE,KY0237,6700,CAMP ERNST,RD,,,,,ROGERS,,HOLBROOK,39.008487438,-84.704308540,5.345,12/17/2020 12:00:00 AM,0700,1,1,0,0,SNOWING,WET,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/19/2020 11:27:41 AM,False,3709,Accepted,
27584195,0630000,LAUREL COUNTY SHERIFF DEPT.,Accepted,LAUREL,I 0075,,I75 S,,,,,,,,,37.012380825,-84.102265976,31.375,12/16/2020 12:00:00 AM,1949,2,2,0,0,CLEAR,WET,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,12/19/2020 5:47:51 PM,False,1136,Accepted,
27576317,0370200,KY STATE POLICE CVE,Accepted,HENDERSON,US0060,,US60,,E,,,,,,,37.862409497,-87.412815720,19.259,12/16/2020 12:00:00 AM,1603,1,1,0,0,CLOUDY,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DAYLIGHT,,,12/17/2020 1:02:48 PM,False,C-53,Accepted,
27572613,0561500,UNIV. OF LOUISVILLE POLICE,Accepted,JEFFERSON,,,RIVER,RD,,,,,,,,38.259318047,-85.744829722,0.115,12/15/2020 12:00:00 AM,1006,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,12/16/2020 11:24:36 AM,False,5618,Accepted,
27574170,0370200,KY STATE POLICE CVE,Accepted,LAUREL,I 0075,,I75 S,,,,,,,,,37.225516642,-84.214252917,49.037,12/15/2020 12:00:00 AM,1830,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DARK-HWY NOT LIGHTED,,,12/16/2020 9:41:42 PM,False,C-331,Accepted,
